iter	RMSE
143	5.015973854
144	5.010075727
145	5.005378841
146	5.000449835
147	4.997415582
148	4.99397627
149	4.991036131
150	4.986531137
151	4.983507783
152	4.979425717
153	4.975660876
154	4.968355366
155	4.964008234
156	4.959912789
157	4.956199332
158	4.952730666
159	4.946085239
160	4.943566094
161	4.93796919
162	4.932972382
163	4.929999692
164	4.925686967
165	4.92211387
166	4.918541253
167	4.912723205
168	4.906365462
169	4.900224726
170	4.893807095
171	4.890698954
172	4.886691111
173	4.883153259
174	4.879889382
175	4.874488399
176	4.869315857
177	4.863463337
178	4.858462384
179	4.855456733
180	4.851137825
181	4.847124634
182	4.843621089
183	4.840730165
184	4.835978378
185	4.831874995
186	4.826942685
187	4.822533179
188	4.820095039
189	4.815685304
190	4.811455501
191	4.80422293
192	4.802229154
193	4.801450876
194	4.798181011
195	4.795177518
196	4.79262375
197	4.78618283
198	4.784483335
199	4.780526929
200	4.777600308
201	4.775412695
202	4.771228763
203	4.765682768
204	4.762003121
205	4.757686798
206	4.756100697
207	4.753371487
208	4.751178664
209	4.746488563
210	4.741467968
211	4.738785509
212	4.736773579
213	4.732619515
214	4.724688238
215	4.721282611
216	4.719102074
217	4.715231662
218	4.713868594
219	4.710069135
220	4.707151814
221	4.704500436
222	4.701279915
223	4.6947595
224	4.69113691
225	4.689168556
226	4.68594535
227	4.684691337
228	4.682181807
229	4.680588893
230	4.678609627
231	4.676643054
232	4.672454485
233	4.667889312
234	4.666119411
235	4.661895872
236	4.661062839
237	4.657407798
238	4.654923342
239	4.649937678
240	4.647203752
241	4.643737729
242	4.638639584
243	4.636054034
244	4.635111712
245	4.634685914
246	4.633869474
247	4.633161337
248	4.630797149
249	4.62803279
250	4.624409136
251	4.621277331
252	4.617641936
253	4.615261908
254	4.61263204
255	4.606932372
256	4.604450868
257	4.602931884
258	4.601955723
259	4.600508457
260	4.597230658
261	4.591517908
262	4.588378723
263	4.582983237
264	4.581471248
265	4.579738238
266	4.577855728
267	4.571920005
268	4.569790038
269	4.566731875
270	4.563354813
271	4.562955475
272	4.560038361
273	4.559468552
274	4.557162654
275	4.552024788
276	4.549805096
277	4.545905956
278	4.542952059
279	4.538789963
280	4.536078257
281	4.53290548
282	4.531684196
283	4.528186316
284	4.524504203
285	4.517440165
286	4.512750171
287	4.507787588
288	4.504422744
289	4.49864636
290	4.497010292
291	4.495304399
292	4.492932993
293	4.490384598
294	4.48619401
295	4.48522657
296	4.483335712
297	4.477454657
298	4.475022565
299	4.47095601
300	4.470688186
301	4.468536906
302	4.464661246
303	4.461003778
304	4.458756075
305	4.458489745
306	4.452679897
307	4.450748284
308	4.447477419
309	4.444963895
310	4.439349506
311	4.43660431
312	4.432087682
313	4.428922308
314	4.426400917
315	4.421728043
316	4.416911726
317	4.413910989
318	4.410398622
319	4.406734259
320	4.399849493
321	4.397081281
322	4.394335779
323	4.388122054
324	4.384755149
325	4.379471324
326	4.376693364
327	4.375226976
328	4.37059396
329	4.365228332
330	4.363319623
331	4.361554136
332	4.358220464
333	4.354642984
334	4.352479024
335	4.349943786
336	4.348520476
337	4.344272307
338	4.342930012
339	4.340928709
340	4.340260698
341	4.33966346
342	4.336194815
343	4.330308667
344	4.32589916
345	4.324987436
346	4.322196949
347	4.318760651
348	4.316600469
349	4.313595407
350	4.311912529
351	4.310719211
352	4.309709829
353	4.304274811
354	4.30103053
355	4.299209964
356	4.296957496
357	4.291238607
358	4.290629508
359	4.284720767
360	4.28148001
361	4.278852498
362	4.276388166
363	4.269985856
364	4.264406961
365	4.260118411
366	4.254649802
367	4.254410548
368	4.248444351
369	4.247861581
370	4.247321144
371	4.244186259
372	4.239341691
373	4.239024458
374	4.236635929
375	4.234152182
376	4.232234165
377	4.230006846
378	4.22893622
379	4.226204313
380	4.225342049
381	4.220342697
382	4.218468494
383	4.215554509
384	4.215023422
385	4.211091499
386	4.208276738
387	4.207982571
388	4.205059007
389	4.204839395
390	4.200928091
391	4.196669314
392	4.195293797
393	4.190521417
394	4.190080607
395	4.187825084
396	4.183775629
397	4.183248021
398	4.180722866
399	4.179548736
400	4.179094183
401	4.177296167
402	4.172363452
403	4.169712024
404	4.168503915
405	4.164311491
406	4.160841424
407	4.158090472
408	4.154993653
409	4.150921464
410	4.147286365
411	4.145631513
412	4.142467703
413	4.137908755
414	4.137285661
415	4.13570003
416	4.132475369
417	4.129930491
418	4.127885274
419	4.126135255
420	4.124234508
421	4.121235063
422	4.117387427
423	4.114949195
424	4.114758684
425	4.111200973
426	4.1083898
427	4.106396308
428	4.104278332
429	4.102358405
430	4.099716657
431	4.096971383
432	4.093418039
433	4.092881451
434	4.088618644
435	4.085815653
436	4.08455178
437	4.082473272
438	4.077645959
439	4.073026912
440	4.071286911
441	4.068359335
442	4.065727249
443	4.063099797
444	4.059920407
445	4.058197124
446	4.056651597
447	4.056162882
448	4.055689021
449	4.053182393
450	4.050523415
451	4.047555913
452	4.045686535
453	4.045419402
454	4.044937203
455	4.043140137
456	4.042937225
457	4.039330094
458	4.038832899
459	4.034739549
460	4.032959082
461	4.03004553
462	4.027306647
463	4.023728635
464	4.018308555
465	4.016053254
466	4.012053735
467	4.008251334
468	4.007811165
469	4.00575007
470	4.00550367
471	4.004761882
472	4.00377755
473	4.002023226
474	4.000295372
475	3.99932794
476	3.998296011
477	3.996682274
478	3.992414207
479	3.989991368
480	3.989362291
481	3.984659094
482	3.982024115
483	3.979796529
484	3.977441597
485	3.976399267
486	3.971845855
487	3.971558789
488	3.971319994
489	3.969401629
490	3.968212727
491	3.966424241
492	3.965227795
493	3.959775427
494	3.955945993
495	3.953631872
496	3.953180484
497	3.952879135
498	3.950185216
499	3.945303824
500	3.943465677
501	3.941468744
502	3.939460362
503	3.935308132
504	3.931368168
505	3.931186825
506	3.926624987
507	3.923376251
508	3.923025712
509	3.922625266
510	3.922236021
511	3.920768827
512	3.919348013
513	3.917745935
514	3.915841389
515	3.912840619
516	3.912256244
517	3.908242125
518	3.904435249
519	3.902381119
520	3.900280627
521	3.898046817
522	3.897799464
523	3.89537265
524	3.891509878
525	3.891133817
526	3.890708766
527	3.889192215
528	3.88565074
529	3.883735426
530	3.882400135
531	3.879474814
532	3.876562108
533	3.874808594
534	3.874269644
535	3.871905811
536	3.869100969
537	3.86902688
538	3.868845459
539	3.868640948
540	3.865118579
541	3.86331029
542	3.860489609
543	3.857341542
544	3.857234569
545	3.853505413
546	3.85131594
547	3.848546263
548	3.845525737
549	3.84186426
550	3.838674179
551	3.835738098
552	3.829947413
553	3.829116987
554	3.826358596
555	3.825502598
556	3.821745056
557	3.819972404
558	3.819638732
559	3.818623347
560	3.814411169
561	3.810327449
562	3.808742386
563	3.806665527
564	3.805580811
565	3.80522645
566	3.801897617
567	3.798768878
568	3.79711296
569	3.792631703
570	3.789802604
571	3.78828189
572	3.787563661
573	3.783603688
574	3.781640119
575	3.78009942
576	3.778525725
577	3.774340903
578	3.772610844
579	3.771205832
580	3.766752966
581	3.766237297
582	3.766054023
583	3.764246568
584	3.761684244
585	3.757956787
586	3.756376576
587	3.755391042
588	3.75225745
589	3.750292099
590	3.749640158
591	3.747180276
592	3.746146084
593	3.744648204
594	3.743549977
595	3.740752183
596	3.7398977
597	3.736386975
598	3.734365527
599	3.732155594
600	3.730550225
601	3.728734789
602	3.72701042
603	3.725364258
604	3.723076779
605	3.72009275
606	3.718618217
607	3.715899496
608	3.714583475
609	3.711114607
610	3.711016048
611	3.708513683
612	3.70817366
613	3.706085597
614	3.704311606
615	3.702825056
616	3.69930686
617	3.696814584
618	3.693035025
619	3.691300689
620	3.689627924
621	3.688752863
622	3.68480791
623	3.682582614
624	3.680356307
625	3.679699232
626	3.678632207
627	3.675924322
628	3.67501794
629	3.670923825
630	3.666909721
631	3.666054861
632	3.66436329
633	3.660300042
634	3.657520543
635	3.653728056
636	3.652100197
637	3.651461994
638	3.648152047
639	3.647498564
640	3.645573311
641	3.645433647
642	3.642522711
643	3.639736885
644	3.637300627
645	3.635625451
646	3.63416665
647	3.633782972
648	3.631651018
649	3.631493248
650	3.63069804
651	3.629336388
652	3.626996431
653	3.624192496
654	3.621212404
655	3.617488143
656	3.615635953
657	3.614203252
658	3.612745391
659	3.60926206
660	3.609217013
661	3.606487503
662	3.605606623
663	3.603112046
664	3.602560709
665	3.601373338
666	3.599681283
667	3.598225463
668	3.595238337
669	3.593014194
670	3.590166825
671	3.587216485
672	3.586589824
673	3.586298467
674	3.585137762
675	3.584983263
676	3.58486273
677	3.581807002
678	3.57824662
679	3.577730057
680	3.576092213
681	3.573779544
682	3.571224174
683	3.570978117
684	3.569407008
685	3.567468442
686	3.563169969
687	3.559615198
688	3.558490338
689	3.555677116
690	3.553107422
691	3.552819507
692	3.551019602
693	3.548784696
694	3.548650073
695	3.548250175
696	3.548144791
697	3.546567859
698	3.544987927
699	3.544907414
700	3.544829616
701	3.543507386
702	3.540076194
703	3.536709985
704	3.535388516
705	3.534662334
706	3.532655472
707	3.531810872
708	3.531535589
709	3.528846795
710	3.526588221
711	3.524487638
712	3.52328899
713	3.522698497
714	3.519703993
715	3.519000534
716	3.517498208
717	3.517292034
718	3.516090233
719	3.515450345
720	3.513023038
721	3.509487234
722	3.508195089
723	3.506386768
724	3.50475739
725	3.503244169
726	3.501601244
727	3.497073588
728	3.495977947
729	3.494578236
730	3.490678219
731	3.490383211
732	3.487907284
733	3.486688394
734	3.486060027
735	3.483660967
736	3.482786433
737	3.478052999
738	3.475282824
739	3.473733006
740	3.470205993
741	3.46964022
742	3.467128637
743	3.464608162
744	3.462097419
745	3.460087485
746	3.457433276
747	3.456870174
748	3.455138065
749	3.453229054
750	3.449996708
751	3.449642346
752	3.448063715
753	3.447563927
754	3.446796085
755	3.443376001
756	3.442540532
757	3.44210856
758	3.441205652
759	3.439392292
760	3.437659293
761	3.436011311
762	3.433618292
763	3.430735556
764	3.429453438
765	3.428552739
766	3.425807739
767	3.424631814
768	3.418809416
769	3.41603137
770	3.41336923
771	3.412370961
772	3.407187244
773	3.405443208
774	3.403612171
775	3.402693279
776	3.401304246
777	3.398743558
778	3.397747
779	3.396888946
780	3.395738989
781	3.393674153
782	3.393237665
783	3.391828009
784	3.389275479
785	3.387822943
786	3.387613791
787	3.386360136
788	3.384696371
789	3.379455935
790	3.377562537
791	3.376636189
792	3.374185035
793	3.37252245
794	3.370754683
795	3.369886409
796	3.369832972
797	3.367599478
798	3.367565222
799	3.366920041
800	3.362694363
801	3.360958227
802	3.36067814
803	3.359894639
804	3.356681417
805	3.354907736
806	3.353110839
807	3.351546235
808	3.35127502
809	3.349462828
810	3.349309941
811	3.34770442
812	3.344352287
813	3.343387243
814	3.342283
815	3.339990987
816	3.3386105
817	3.338385677
818	3.337646251
819	3.33745756
820	3.335863322
821	3.334566508
822	3.333763707
823	3.331789384
824	3.330739133
825	3.330532541
826	3.328342884
827	3.327674035
828	3.326881536
829	3.326748743
830	3.324808526
831	3.323962208
832	3.321669573
833	3.320387224
834	3.319604815
835	3.316955128
836	3.31601543
837	3.31410286
838	3.313875997
839	3.311503877
840	3.310206111
841	3.308783135
842	3.307411825
843	3.305751389
844	3.304174751
845	3.303800626
846	3.300486026
847	3.297985654
848	3.296348993
849	3.293755523
850	3.290805827
851	3.290487649
852	3.288115127
853	3.28799101
854	3.287652254
855	3.286253922
856	3.285665528
857	3.283283465
858	3.282335658
859	3.277696541
860	3.274512024
861	3.27166129
862	3.268567003
863	3.267618349
864	3.266833605
865	3.265684
866	3.263439479
867	3.261706948
868	3.25929017
869	3.257454077
870	3.254958006
871	3.25199985
872	3.250575565
873	3.249332305
874	3.249229609
875	3.248902832
876	3.245453541
877	3.242860829
878	3.239828941
879	3.239447374
880	3.237925078
881	3.235176371
882	3.233573536
883	3.231451655
884	3.228608148
885	3.226344117
886	3.224807952
887	3.223779252
888	3.222366244
889	3.219617594
890	3.218988157
891	3.217568206
892	3.2160239
893	3.213210395
894	3.212710064
895	3.211586773
896	3.211444726
897	3.210489005
898	3.208629647
899	3.207513309
900	3.205604688
901	3.20514763
902	3.205011215
903	3.204239379
904	3.202519104
905	3.200275381
906	3.200190137
907	3.197290676
908	3.193599005
909	3.191967294
910	3.191927422
911	3.190663397
912	3.188866112
913	3.187590363
914	3.186773938
915	3.183687986
916	3.183319091
917	3.182457887
918	3.181291035
919	3.178809914
920	3.177239337
921	3.176403017
922	3.175332366
923	3.172442393
924	3.171429704
925	3.170306734
926	3.168760671
927	3.167476665
928	3.165105652
929	3.16292891
930	3.161940614
931	3.161784669
932	3.159523174
933	3.158383235
934	3.154661881
935	3.154358629
936	3.152448479
937	3.151177277
938	3.150326547
939	3.148748807
940	3.147704279
941	3.146555463
942	3.145229086
943	3.143575825
944	3.143501343
945	3.142837263
946	3.140222941
947	3.14000606
948	3.13986854
949	3.138368581
950	3.137208578
951	3.135144653
952	3.134511926
953	3.134292468
954	3.133642428
955	3.132045542
956	3.130037592
957	3.129734837
958	3.129243413
959	3.128153038
960	3.126149944
961	3.125603621
962	3.121948814
963	3.119273991
964	3.118137759
965	3.117972015
966	3.117601231
967	3.114449636
968	3.113484546
969	3.113435123
970	3.113070176
971	3.11137582
972	3.110287258
973	3.108770088
974	3.106827193
975	3.106395243
976	3.1062229
977	3.105054108
978	3.10361202
979	3.103406612
980	3.103200271
981	3.102200783
982	3.101910438
983	3.10184742
984	3.100764143
985	3.099475352
986	3.097935915
987	3.097467591
988	3.095984438
989	3.094520458
990	3.093984725
991	3.092665936
992	3.092635696
993	3.091991316
994	3.09049024
995	3.089800677
996	3.088665304
997	3.088630105
998	3.087452887
999	3.084863951
